지점,지점명,일시,기온(°C)
108,서울,21-1-8 7:07,-18.2
108,서울,21-1-8 7:08,-18.2
108,서울,21-1-8 7:09,-18.3
108,서울,21-1-8 7:10,-18.3
108,서울,21-1-8 7:11,-18.3
108,서울,21-1-8 7:12,-18.3
108,서울,21-1-8 7:13,-18.3
108,서울,21-1-8 7:14,-18.3
108,서울,21-1-8 7:15,-18.3
108,서울,21-1-8 7:16,-18.3
108,서울,21-1-8 7:17,-18.3
108,서울,21-1-8 7:18,-18.3
108,서울,21-1-8 7:19,-18.3
108,서울,21-1-8 7:20,-18.3
108,서울,21-1-8 7:21,-18.3
108,서울,21-1-8 7:22,-18.3
108,서울,21-1-8 7:23,-18.3
108,서울,21-1-8 7:24,-18.3
108,서울,21-1-8 7:25,-18.3
108,서울,21-1-8 7:26,-18.3
108,서울,21-1-8 7:27,-18.3
108,서울,21-1-8 7:28,-18.3
108,서울,21-1-8 7:29,-18.3
108,서울,21-1-8 7:30,-18.3
108,서울,21-1-8 7:31,-18.3
108,서울,21-1-8 7:32,-18.3
108,서울,21-1-8 7:33,-18.4
108,서울,21-1-8 7:34,-18.4
108,서울,21-1-8 7:35,-18.3
108,서울,21-1-8 7:36,-18.3
108,서울,21-1-8 7:37,-18.3
108,서울,21-1-8 7:38,-18.3
108,서울,21-1-8 7:39,-18.3
108,서울,21-1-8 7:40,-18.3
108,서울,21-1-8 7:41,-18.3
108,서울,21-1-8 7:42,-18.3
108,서울,21-1-8 7:43,-18.4
108,서울,21-1-8 7:44,-18.4
108,서울,21-1-8 7:45,-18.4
108,서울,21-1-8 7:46,-18.4
108,서울,21-1-8 7:47,-18.4
108,서울,21-1-8 7:48,-18.4
108,서울,21-1-8 7:49,-18.4
108,서울,21-1-8 7:50,-18.4
108,서울,21-1-8 7:51,-18.4
108,서울,21-1-8 7:52,-18.5
108,서울,21-1-8 7:53,-18.4
108,서울,21-1-8 7:54,-18.5
108,서울,21-1-8 7:55,-18.5
108,서울,21-1-8 7:56,-18.5
108,서울,21-1-8 7:57,-18.5
108,서울,21-1-8 7:58,-18.5
108,서울,21-1-8 7:59,-18.5
108,서울,21-1-8 8:00,
108,서울,21-1-8 8:01,-18.5
108,서울,21-1-8 8:02,-18.5
108,서울,21-1-8 8:03,-18.5
108,서울,21-1-8 8:04,-18.5
108,서울,21-1-8 8:05,-18.5
108,서울,21-1-8 8:06,-18.5
108,서울,21-1-8 8:07,-18.5
108,서울,21-1-8 8:08,-18.5
108,서울,21-1-8 8:09,-18.5
108,서울,21-1-8 8:10,-18.5
108,서울,21-1-8 8:11,-18.5
108,서울,21-1-8 8:12,-18.6
108,서울,21-1-8 8:13,-18.5
108,서울,21-1-8 8:14,-18.5
108,서울,21-1-8 8:15,-18.5
108,서울,21-1-8 8:16,-18.5
108,서울,21-1-8 8:17,-18.5
108,서울,21-1-8 8:18,-18.5
108,서울,21-1-8 8:19,-18.5
108,서울,21-1-8 8:20,-18.5
108,서울,21-1-8 8:21,-18.5
108,서울,21-1-8 8:22,-18.5
108,서울,21-1-8 8:23,-18.5
108,서울,21-1-8 8:24,-18.4
108,서울,21-1-8 8:25,-18.4
108,서울,21-1-8 8:26,-18.4
108,서울,21-1-8 8:27,-18.3
108,서울,21-1-8 8:28,-18.3
108,서울,21-1-8 8:29,-18.3
108,서울,21-1-8 8:30,-18.2
108,서울,21-1-8 8:31,-18.2
108,서울,21-1-8 8:32,-18.2
108,서울,21-1-8 8:33,-18.2
108,서울,21-1-8 8:34,-18.2
108,서울,21-1-8 8:35,-18.2
108,서울,21-1-8 8:36,-18.2
108,서울,21-1-8 8:37,-18.2
108,서울,21-1-8 8:38,-18.2
108,서울,21-1-8 8:39,-18.1
108,서울,21-1-8 8:40,-18.1
108,서울,21-1-8 8:41,-18.1
108,서울,21-1-8 8:42,-18.1
108,서울,21-1-8 8:43,-18.1
108,서울,21-1-8 8:44,-18.1
108,서울,21-1-8 8:45,-18.1
108,서울,21-1-8 8:46,-18.1
108,서울,21-1-8 8:47,-18.1
108,서울,21-1-8 8:48,-18.1
108,서울,21-1-8 8:49,-18.1
108,서울,21-1-8 8:50,-18.1
108,서울,21-1-8 8:51,-18
