name,시장유형,소재지도로명주소,시장개설주기,lat,long,점포수,,,,,,,
우수영5일시장,5일장,전라남도 목포시 고하대로 706,4일+9일,34.809379,126.374239,38,,,,,,,
좌일5일시장,5일장,전라남도 해남군 북일면 만월길 26-1,3일+8일,34.463855,126.672569,13,,,,,,,
해남읍5일시장,5일장,전라남도 해남군 해남읍 중앙2로 76,1일+6일,34.568785,126.597157,178,,,,,,,
화원5일시장,5일장,전라남도 해남군 화원면 금평길 14,5일+10일,34.669496,126.328231,50,,,,,,,
능주전통시장,5일장,전라남도 화순군 능주면 학포로 1955,5일+10일,34.990914,126.959371,48,,,,,,,
이양전통시장,5일장,전라남도 화순군 이양면 이양로 29-7,4일+9일,34.882485,126.987301,30,,,,,,,
화순전통시장(화순읍전통시장),5일장,전라남도 화순군 화순읍 시장길 42,3일+8일,35.059097,126.983399,80,,,,,,,
복내5일시장,5일장,전라남도 보성군 복내면 송재로 1838-12,4일+9일,34.89370035,127.133141,25,,,,,,,
조성5일시장,5일장,전라남도 보성군 조성면 조성로 90-6,3일+8일,34.806479,127.245277,25,,,,,,,
괴목시장,5일장,전라남도 순천시 황전면 괴목길 17,4일+9일,35.102555,127.428225,57,,,,,,,
부산광역시철강판매협동조합,상설장,부산광역시 사상구 강변대로532번길 17-26,매일,35.133204,128.966603,50,,,,,,,
순천시아랫장(순천아랫장),상설장+5일장,전라남도 순천시 장평로 60,2일+7일,34.945147,127.49609,206,,,,,,,
승주시장,5일장,전라남도 순천시 승주읍 서정2길 28,1일+6일,35.015675,127.3894901,21,,,,,,,
역전시장,상설장,전라남도 순천시 역전장길 9,매일,34.943748,127.503331,202,,,,,,,
웃장,상설장+5일장,전라남도 순천시 북문길 40,5일+10일,34.958646,127.485034,158,,,,,,,
중앙시장,상설장,전라남도 순천시 중앙시장길 18,매일,34.953262,127.484603,32,,,,,,,
지도시장,5일장,전라남도 신안군 지도읍 읍내길 16-20,3일+8일,35.058816,126.206982,60,,,,,,,
(주)서시장,상설장,전라남도 여수시 좌수영로 16-6,매일,34.741792,127.728616,209,,,,,,,
교동시장,상설장,전라남도 여수시 교동시장1길 15-10,매일,34.739128,127.730129,78,,,,,,,
덕양시장,상설장,전라남도 여수시 소라면 하세동길 12-2,매일,34.797962,127.632011,17,,,,,,,
도깨비시장,상설장,전라남도 여수시 학동서5길 18,매일,34.763319,127.656539,77,,,,,,,
봉산시장,상설장,전라남도 여수시 봉산1로 12,매일,34.732156,127.722412,57,,,,,,,
쌍봉시장,상설장,전라남도 여수시 학동2길 7,매일,34.764148,127.664975,29,,,,,,,
여수서시장주변시장,상설장+5일장,전라남도 여수시 서교2길 2-7,4일+9일,34.740948,127.7285604,250,,,,,,,
여수수산물특화시장,상설장,전라남도 여수시 남산로 60-31,매일,34.736833,127.732889,257,,,,,,,
제일시장,상설장,전라남도 여수시 학동2길 7-4,매일,34.764197,127.664652,63,,,,,,,
중앙선어시장,상설장,전라남도 여수시 선어시장길 13,매일,34.739451,127.736875,40,,,,,,,
중앙시장,상설장,전라남도 여수시 중앙로 43,매일,34.740596,127.732565,131,,,,,,,
진남시장,상설장,전라남도 여수시 학동1길 10,매일,34.764256,127.664123,80,,,,,,,
해안로건어물상가시장,상설장,전라남도 여수시 교동남2길 14,매일,34.739532,127.734527,40,,,,,,,
(주)여수수산시장,상설장,전라남도 여수시 여객선터미널길 24,매일,34.738142,127.731764,115,,,,,,,
영광고추특화시장,5일장,전라남도 영광군 영광읍 신남로 100-25,1일+6일,35.274728,126.493546,40,,,,,,,
굴비골영광시장(구 영광매일시장),상설장,전라남도 영광군 영광읍 중앙로3길 5-22,매일,35.275128,126.512323,65,,,,,,,
영광터미널시장,상설장+5일장,전라남도 영광군 영광읍 신남로3길 5-3,1일+6일,35.275536,126.5030195,85,,,,,,,
구림5일시장,5일장,전라남도 영암군 군서면 도갑사로 31-13,2일+7일,34.762377,126.635342,14,,,,,,,
시종5일시장,5일장,전라남도 영암군 시종면 내동중앙로 26,2일+7일,34.867402,126.608099,46,,,,,,,
부강전통시장,상설장+5일장,세종특별자치시 부강면 부강5길 18,5일+10일,36.528501,127.368882,70,,,,,,,
포방터시장,상설장,서울특별시 서대문구 포방터길 43,매일,37.598671,126.948897,88,,,,,,,
송현자유시장,상설장,인천광역시 동구 화도진로41번길 13-1,매일,37.475902,126.633014,91,,,,,,,
정원시장,상설장,대전광역시 동구 중앙로194번길 33,매일,36.329106,127.431655,90,,,,,,,
연풍전통시장,상설장+5일장,충청북도 괴산군 연풍면 향교로교촌2길 3,2일+7일,36.764396,127.997624,57,,,,,,,
삼승원남시장(원남재래시장),상설장+5일장,충청북도 보은군 삼승면 삼승탄부로 12,3일+8일,36.396921,127.733145,58,,,,,,,
회인재래시장,상설장+5일장,충청북도 보은군 회인면 회인로2길 2-1,4일+9일,36.490667,127.597779,38,,,,,,,
엄정내창시장,상설장+5일장,충청북도 충주시 엄정면 내창로 191-1,3일+8일,37.086396,127.915881,100,,,,,,,
광시시장,5일장,충청남도 예산군 광시면 예당로 165-22,3일+8일,36.549118,126.774424,10,,,,,,,
마천전통시장,5일장,경상남도 함양군 마천면 천왕봉로 1144-2,5일+10일,35.395649,127.662681,11,,,,,,,
영등포유통상가,상설장,서울특별시 영등포구 영등포로 109,매일,37.522417,126.8939303,1250,,,,,,,
고려쇼핑센터,상설장,부산광역시 사상구 사상로 208,매일,35.163619,128.984183,151,,,,,,,
Team204,상설장,서울특별시 중구 마장로 30,매일,37.567713,127.013197,100,,,,,,,
문화의거리 행복상점가,상설장,경상북도 문경시 점촌5길 8-1,매일,36.596686,128.199258,150,,,,,,,
점촌역전상점가,상설장,경상북도 문경시 신흥로 163-1,매일,36.595797,128.202312,152,,,,,,,
남성시장,상설장,경상북도 상주시 남성4길 43,매일,36.414411,128.162107,140,,,,,,,
중곡제일시장(이오상사),상설장,서울특별시 광진구 긴고랑로11길 11,매일,37.563908,127.081301,15,,,,,,,
한아름시장,상설장,서울특별시 광진구 능동로13길 39,매일,37.543959,127.069758,32,,,,,,,
칠성상가시장,상설장,대구광역시 북구 칠성남로 230,매일,35.875611,128.605314,70,,,,,,,
소래포구전통어시장,상설장,인천광역시 남동구 포구로 2-56,매일,37.398195,126.739394,335,,,,,,,
하복대시장,상설장,충청북도 청주시 흥덕구 증안로34번길 20-1,매일,36.635638,127.427467,51,,,,,,,
봉화내성시장,상설장,경상북도 봉화군 봉화읍 내성로1길 35,매일,36.888982,128.739469,138,,,,,,,
거제읍내시장,상설장+5일장,경상남도 거제시 거제면 읍내로2길 28,4일+9일,34.850559,128.590311,56,,,,,,,
관악종합시장,상설장,서울특별시 관악구 신원로 23,매일,37.481577,126.928063,56,,,,,,,
조양시장(건물형),상설장,서울특별시 광진구 아차산로30길 39,매일,37.538997,127.067489,29,,,,,,,
상계중앙시장,상설장,서울특별시 노원구 상계로23가길 24,매일,37.659049,127.070277,64,,,,,,,
신도봉시장,상설장,서울특별시 도봉구 도당로27길 60,매일,37.670015,127.041124,25,,,,,,,
중부시장,상설장,서울특별시 중구 을지로36길 35,매일,37.565063,127.001905,510,,,,,,,
테크노상가,상설장,서울특별시 중구 마장로1가길 17,매일,37.568846,127.013238,188,,,,,,,
동원시장,상설장,서울특별시 중랑구 면목로74길 45,매일,37.589838,127.089893,14,,,,,,,
면목시장,상설장,서울특별시 중랑구 면목로39길 11,매일,37.579552,127.086299,35,,,,,,,
금광시장,상설장,경기도 성남시 중원구 산성대로426번길 5,매일,37.450033,127.159906,22,,,,,,,
마로관기시장(관기재래시장),상설장,충청북도 보은군 마로면 관기3길 6-7,매일,36.435243,127.817596,40,,,,,,,
연수상가,상설장,충청북도 충주시 예성로 319,매일,36.984783,127.933227,190,,,,,,,
공주산성시장,상설장+5일장,충청남도 공주시 용당길 22,1일+6일,36.458818,127.122614,560,,,,,,,
금산인삼전통시장,상설장,충청남도 금산군 금산읍 건삼전1길 20-8,매일,36.100459,127.492185,69,,,,,,,
마전시장,5일장,충청남도 금산군 추부면 마전1길 38,4일+9일,36.190606,127.466976,15,,,,,,,
웅천시장,상설장+5일장,충청남도 보령시 웅천읍 장터4길 24,2일+7일,36.23299004,126.601268,87,,,,,,,
덕산시장,5일장,충청남도 예산군 덕산면 읍내서길 2-1,4일+9일,36.704977,126.668157,50,,,,,,,
지리산나들이장터,상설장,전라남도 구례군 산동면 지리산온천로 126,매일,35.311471,127.4444997,22,,,,,,,
세종대평시장,상설장+5일장,세종특별자치시 금남면 대평시장1길 17-2,2일+7일,36.467267,127.282059,76,,,,,,,
여주한글시장(여주중앙로상점가),5일장,경기도 여주시 세종로14번길 24-1,5일+10일,37.297551,127.634289,179,,,,,,,
진주청과시장,상설장,경상남도 진주시 촉석로226번길 3,매일,35.196246,128.086685,322,,,,,,,
청평여울시장,상설장,경기도 가평군 청평면 청평중앙로26번길 10,매일,37.736048,127.418127,114,,,,,,,
모란전통기름시장,상설장,경기도 성남시 중원구 둔촌대로83번길 7,매일,37.430908,127.128008,120,,,,,,,
중부농수산물시장,상설장,경기도 안양시 만안구 안양로248번길 23,매일,37.395908,126.925615,25,,,,,,,
철뚝시장,상설장,부산광역시 부산진구 자유평화로3번길 14-15,매일,35.14222041,129.061569,63,,,,,,,
답십리건축자재시장,상설장,서울특별시 동대문구 고미술로 49,매일,37.56745985,127.053488,83,,,,,,,
신곡종합시장,상설장,서울특별시 양천구 남부순환로79길 37,매일,37.518369,126.843197,50,,,,,,,
신정제일시장,상설장,서울특별시 양천구 중앙로34길 30,매일,37.520842,126.853684,56,,,,,,,
주암시장,5일장,전라남도 순천시 주암면 주암호길 9,3일+8일,35.075741,127.235263,40,,,,,,,
대천항종합수산물시장,상설장,충청남도 보령시 대천항로 370,매일,36.326609,126.506108,136,,,,,,,
부여 새시장,5일장,충청남도 부여군 부여읍 부여로 12,5일+10일,36.280991,126.909648,74,,,,,,,
광천원동시장,5일장,충청남도 홍성군 광천읍 광천로323번길 15-1,4일+9일,36.502325,126.625011,161,,,,,,,
안산패션타운전통시장,상설장,경기도 안산시 상록구 삼리로 45,매일,37.304981,126.844665,139,,,,,,,
안산 다농마트 전통시장,상설장,경기도 안산시 상록구 예술광장로 1,매일,37.328361,126.844239,230,,,,,,,
풍기선비골인삼시장,상설장,경상북도 영주시 풍기읍 소백로 2156,매일,36.888503,128.540689,68,,,,,,,
고척골목시장상점가,상설장,서울특별시 구로구 중앙로10길 8,매일,37.503375,126.862709,67,,,,,,,
청계상가,상설장,서울특별시 중구 청계천로 160,매일,37.56797977,126.995365,179,,,,,,,
장미제일시장,상설장,서울특별시 중랑구 동일로143길 38,매일,37.605174,127.076373,56,,,,,,,
오이도전통수산시장,상설장,경기도 시흥시 오이도로 167,매일,37.345881,126.6882099,172,,,,,,,
양동쌍학시장,상설장,경기도 양평군 양동면 학둔지아래길 76,매일,37.420174,127.753197,101,,,,,,,
청림시장,상설장,경상북도 포항시 남구 청림서길 29,매일,35.996577,129.410355,30,,,,,,,
환호그린빌시장,상설장,경상북도 포항시 북구 환호공원길 15,매일,36.068129,129.391148,32,,,,,,,
삼천포전통수산시장,상설장,경상남도 사천시 어시장길 46,매일,34.927174,128.069893,66,,,,,,,
석계시장,5일장,경상남도 양산시 상북면 삼계4길 2,4일+9일,35.419573,129.063938,16,,,,,,,
제천고추시장,상설장,충청북도 제천시 바이오밸리로 212,매일,37.156434,128.175046,86,,,,,,,
부곡시장,상설장,경상북도 김천시 부곡시장1길 13,매일,36.125493,128.104445,21,,,,,,,
중앙시장,상설장,경상북도 김천시 중앙시장3길 1,매일,36.119086,128.124828,90,,,,,,,
모슬포중앙시장,상설장,제주특별자치도 서귀포시 대정읍 상모로 327,매일,33.222067,126.254514,68,,,,,,,
서귀포매일올레시장,상설장,제주특별자치도 서귀포시 중앙로62번길 18,매일,33.250149,126.563231,225,,,,,,,
서귀포향토오일시장,5일장,제주특별자치도 서귀포시 토평서로11번길 142,4일+9일,33.267789,126.573742,568,,,,,,,
중문오일시장,5일장,제주특별자치도 서귀포시 천제연로188번길 12,3일+8일,33.250583,126.423947,67,,,,,,,
표선오일시장,5일장,제주특별자치도 서귀포시 표선면 표선동서로 203-1,2일+7일,33.322717,126.830383,50,,,,,,,
도남시장,상설장,제주특별자치도 제주시 신성로7길 13,매일,33.496812,126.528404,99,,,,,,,
동문시장(주),상설장,제주특별자치도 제주시 동문로 16,매일,33.512797,126.5283197,79,,,,,,,
보성시장,상설장,제주특별자치도 제주시 동광로1길 32,매일,33.503308,126.527939,61,,,,,,,
세화오일시장,5일장,제주특별자치도 제주시 구좌읍 해맞이해안로 1412,5일+10일,33.526186,126.857297,151,,,,,,,
신산시장,상설장,제주특별자치도 제주시 고마로17길 11,매일,33.506036,126.54198,50,,,,,,,
