name,lat,long,,,,,,,,,,,
중앙로상점가,33.51010018,126.523961,,,,,,,,,,,
한림매일시장,33.415647,126.264773,,,,,,,,,,,
한림민속오일시장(한림오일시장),33.419832,126.274504,,,,,,,,,,,
함덕오일시장,33.540253,126.667961,,,,,,,,,,,
세종전통시장,36.599789,127.300612,,,,,,,,,,,
전의왕의물시장,36.67774034,127.205879,,,,,,,,,,,
대명여울빛거리시장,37.452773,126.901649,,,,,,,,,,,
서문시장 아진상가 상점가,35.869949,128.581582,,,,,,,,,,,
남동산업용품상가,37.406946,126.693402,,,,,,,,,,,
언양알프스시장,35.563702,129.1252897,,,,,,,,,,,
합성옛길시장,35.235342,128.582012,,,,,,,,,,,
회성종합시장,35.2329295,128.5594101,,,,,,,,,,,
합성대로상가,35.238932,128.582417,,,,,,,,,,,
북신전통시장,34.854155,128.427531,,,,,,,,,,,
서호전통시장,34.841462,128.420116,,,,,,,,,,,
통영중앙전통시장,34.845293,128.424614,,,,,,,,,,,
계천공설시장(계천시장),34.995988,127.809499,,,,,,,,,,,
북천공설시장,35.114027,127.891953,,,,,,,,,,,
옥종공설시장,35.18209956,127.880221,,,,,,,,,,,
덕하시장,35.49144017,129.3059962,,,,,,,,,,,
진교공설시장,35.027174,127.903816,,,,,,,,,,,
하동공설시장,35.069808,127.748381,,,,,,,,,,,
화개장터,35.188624,127.624224,,,,,,,,,,,
횡천공설시장(횡천시장),35.109212,127.8107002,,,,,,,,,,,
가야상설시장(가야시장),35.277261,128.406464,,,,,,,,,,,
군복공설시장,35.261048,128.346946,,,,,,,,,,,
대산공설시장,35.352837,128.428129,,,,,,,,,,,
칠원공설시장,35.3061904,128.518908,,,,,,,,,,,
안의시장,35.626298,127.814034,,,,,,,,,,,
지리산함양시장,35.518601,127.728988,,,,,,,,,,,
함양토종약초시장,35.625966,127.813715,,,,,,,,,,,
가야시장,35.760246,128.138366,,,,,,,,,,,
삼가시장,35.412815,128.122283,,,,,,,,,,,
야로시장,35.706127,128.168569,,,,,,,,,,,
초계시장,35.559315,128.266834,,,,,,,,,,,
합천시장,35.568507,128.161164,,,,,,,,,,,
고성오일시장,33.451862,126.912815,,,,,,,,,,,
대정오일시장,33.220607,126.248213,,,,,,,,,,,
성원3차상가,35.21499999,128.7052999,,,,,,,,,,,
성원그랜드쇼핑상가,35.219374,128.691593,,,,,,,,,,,
소계시장,35.256759,128.598966,,,,,,,,,,,
소계옛길시장,35.257913,128.598267,,,,,,,,,,,
소답시장,35.265746,128.6207603,,,,,,,,,,,
신마산반월시장(반월시장),35.189659,128.561183,,,,,,,,,,,
신마산시장,35.181097,128.561702,,,,,,,,,,,
양곡종합상가,35.200851,128.628329,,,,,,,,,,,
양덕중앙시장,35.2326503,128.584264,,,,,,,,,,,
역전통합시장,35.236147,128.579464,,,,,,,,,,,
웅천시장,35.111019,128.750903,,,,,,,,,,,
월영대시장,35.179275,128.5577604,,,,,,,,,,,
유신종합상가,35.207561,128.626781,,,,,,,,,,,
